file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
interview01,12.4,47.9,spk01,-34.7,-32.1,1.4,22.8
interview01,51.2,88.65,spk01,-35.9,-33.4,1.1,23.5
interview02,8.9,44.3,spk02,-41.2,-39.6,1.9,4.6
interview02,47.1,82.75,spk02,-40.8,-38.9,2.2,5.1
interview03,15.6,52.05,spk03,-33.1,-30.7,1.6,25.4
interview03,55.3,91.8,spk03,-34.4,-31.9,1.3,24.9
interview04,10.2,46.4,spk04,,,,
interview04,49.7,85.1,spk04,,,,
interview05,9.5,45.85,spk05,-36.2,-33.8,2.0,19.7
interview05,48.6,84.2,spk05,-35.5,-33.0,1.7,20.3
interview06,13.8,50.1,spk06,-34.9,-32.6,1.5,21.6
interview06,53.4,89.95,spk06,-38.6,-36.2,9.8,21.1
interview07,11.3,48.7,spk07,-33.8,-31.5,2.6,26.7
interview07,52.0,87.4,spk07,-34.2,-31.8,0.9,27.2
