token_id,speaker,speaker_group,word,vowel,stress,dur_s,F1_Hz,F2_Hz,F3_Hz,following_phone
P01-001,P01,F,league,IY,1,0.168,400,2736,2982,G
P01-002,P01,F,people,IY,1,0.159,389,2640,3011,P
P01-003,P01,F,keep,IY,1,0.168,405,3050,3900,P
P01-004,P01,F,big,IH,1,0.162,494,2182,2818,G
P01-005,P01,F,still,IH,1,0.120,484,2168,2932,L
P01-006,P01,F,did,IH,1,0.031,545,2380,2960,D
P01-007,P01,F,said,EH,1,0.148,653,2057,2815,D
P01-008,P01,F,check,EH,1,0.152,644,2001,2791,K
P01-009,P01,F,left,EH,1,0.127,670,2016,2720,F
P01-010,P01,F,back,AE,1,0.110,841,1939,2828,K
P01-011,P01,F,that,AE,1,0.069,842,1856,2802,T
P01-012,P01,F,hand,AE,1,0.094,700,2180,2777,N
P01-013,P01,F,job,AA,1,0.066,895,1248,2627,B
P01-014,P01,F,stop,AA,1,0.151,865,1266,2646,P
P01-015,P01,F,watched,AA,1,0.105,913,1249,2760,CH
P01-016,P01,F,walk,AO,1,0.171,755,1106,2729,K
P01-017,P01,F,coffee,AO,1,0.108,790,1089,2769,F
P01-018,P01,F,talk,AO,1,0.078,759,1138,2706,K
P01-019,P01,F,school,UW,1,0.162,432,1078,2646,L
P01-020,P01,F,two,UW,1,0.115,414,1076,2549,sp
P01-021,P01,F,food,UW,1,0.115,415,1097,2523,D
P02-001,P02,M,league,IY,1,0.154,308,2228,2890,G
P02-002,P02,M,people,IY,1,0.084,715,2150,2880,P
P02-003,P02,M,keep,IY,1,0.136,323,2165,2822,P
P02-004,P02,M,big,IH,1,0.078,413,1859,2637,G
P02-005,P02,M,still,IH,1,0.105,417,1922,2673,L
P02-006,P02,M,did,IH,1,0.113,432,1964,2630,D
P02-007,P02,M,said,EH,1,0.137,564,1802,2569,D
P02-008,P02,M,check,EH,1,0.135,571,1721,2506,K
P02-009,P02,M,left,EH,1,0.161,574,1768,2497,F
P02-010,P02,M,back,AE,1,0.090,655,1668,2456,K
P02-011,P02,M,that,AE,1,0.141,636,1737,2425,T
P02-012,P02,M,hand,AE,1,0.161,570,1950,2484,N
P02-013,P02,M,job,AA,1,0.085,744,1170,2571,B
P02-014,P02,M,stop,AA,1,0.118,720,1218,2528,P
P02-015,P02,M,watched,AA,1,0.151,714,1184,2560,CH
P02-016,P02,M,walk,AO,1,0.084,618,997,2500,K
P02-017,P02,M,coffee,AO,1,0.106,639,1006,2515,F
P02-018,P02,M,talk,AO,1,0.097,634,973,2438,K
P02-019,P02,M,school,UW,1,0.110,341,1083,2404,L
P02-020,P02,M,two,UW,1,0.160,343,1073,2288,sp
P02-021,P02,M,food,UW,1,0.089,361,1032,2331,D
