subject	condition	channel	component	window_tmin	window_tmax	polarity	mean_uV	peak_uV	peak_latency_s	n_epochs	status	source_conditions
sub-1001	Standard	Fz	MMN_125_225	0.125	0.225	absolute	0.2472745471362518	-1.6908082452289088	0.124	760	OK	
sub-1001	Standard	FC3	MMN_125_225	0.125	0.225	absolute	0.6680775340913697	-1.386675162994517	0.124	760	OK	
sub-1001	Standard	FC4	MMN_125_225	0.125	0.225	absolute	0.2471705920148861	-1.772323167726569	0.124	760	OK	
sub-1001	Standard	Cz	MMN_125_225	0.125	0.225	absolute	0.8612665014620438	1.562687763077126	0.156	760	OK	
sub-1001	Deviant	Fz	MMN_125_225	0.125	0.225	absolute	-2.7546512462063677	-4.081339728032167	0.124	193	OK	
sub-1001	Deviant	FC3	MMN_125_225	0.125	0.225	absolute	-1.8269948422282376	-3.180675850089792	0.124	193	OK	
sub-1001	Deviant	FC4	MMN_125_225	0.125	0.225	absolute	-2.1038795402273265	-3.2528964563572624	0.124	193	OK	
sub-1001	Deviant	Cz	MMN_125_225	0.125	0.225	absolute	-1.4138843620434514	-2.7767392307132868	0.124	193	OK	
sub-1001	DEV_MINUS_STD	Fz	MMN_125_225	0.125	0.225	absolute	-3.001925793342619	-3.686444171538952	0.154	953	OK	Deviant-Standard
sub-1001	DEV_MINUS_STD	FC3	MMN_125_225	0.125	0.225	absolute	-2.495072376319607	-3.538396550446816	0.15	953	OK	Deviant-Standard
sub-1001	DEV_MINUS_STD	FC4	MMN_125_225	0.125	0.225	absolute	-2.351050132242213	-2.739044124295908	0.172	953	OK	Deviant-Standard
sub-1001	DEV_MINUS_STD	Cz	MMN_125_225	0.125	0.225	absolute	-2.275150863505495	-2.852462213141636	0.148	953	OK	Deviant-Standard
sub-1002	Standard	Fz	MMN_125_225	0.125	0.225	absolute	1.2502369895314511	2.2849269808370107	0.144	754	OK	
sub-1002	Standard	FC3	MMN_125_225	0.125	0.225	absolute	1.5232863099810456	2.205118144554345	0.15	754	OK	
sub-1002	Standard	FC4	MMN_125_225	0.125	0.225	absolute	1.4249103634185716	2.3923078608799337	0.144	754	OK	
sub-1002	Standard	Cz	MMN_125_225	0.125	0.225	absolute	1.323441900267978	2.230838980450463	0.146	754	OK	
sub-1002	Deviant	Fz	MMN_125_225	0.125	0.225	absolute	-3.512811108535253	-4.643114744005678	0.174	196	OK	
sub-1002	Deviant	FC3	MMN_125_225	0.125	0.225	absolute	-3.044547561505893	-3.932962388172011	0.168	196	OK	
sub-1002	Deviant	FC4	MMN_125_225	0.125	0.225	absolute	-2.89716066322527	-4.267758177195892	0.172	196	OK	
sub-1002	Deviant	Cz	MMN_125_225	0.125	0.225	absolute	-3.33908018881049	-4.467241503119426	0.176	196	OK	
sub-1002	DEV_MINUS_STD	Fz	MMN_125_225	0.125	0.225	absolute	-4.763048098066703	-5.7926452979317	0.166	950	OK	Deviant-Standard
sub-1002	DEV_MINUS_STD	FC3	MMN_125_225	0.125	0.225	absolute	-4.567833871486938	-5.75284808296785	0.162	950	OK	Deviant-Standard
sub-1002	DEV_MINUS_STD	FC4	MMN_125_225	0.125	0.225	absolute	-4.322071026643843	-5.526306866501963	0.166	950	OK	Deviant-Standard
sub-1002	DEV_MINUS_STD	Cz	MMN_125_225	0.125	0.225	absolute	-4.662522089078468	-5.722757765454953	0.168	950	OK	Deviant-Standard
