subject	condition	channel	frequency	time	total_power	evoked_power	induced_power	itc	n_epochs	status
sub-1001	Standard	Fz	3.0	-0.2	1.5918063455860184e-09	3.271189324033057e-12	1.5885351562619854e-09	0.0339092128378032	760	OK
sub-1001	Standard	Fz	3.0	-0.192	1.849806242806281e-09	3.2752346756659986e-12	1.8465310081306154e-09	0.0344487568759643	760	OK
sub-1001	Standard	Fz	3.0	-0.184	2.074671904294074e-09	2.8709969618150586e-12	2.071800907332259e-09	0.0345927746055234	760	OK
sub-1001	Standard	Fz	3.0	-0.176	2.16271729189314e-09	1.886249951465652e-12	2.160831041941675e-09	0.0294598051131877	760	OK
sub-1001	Standard	Fz	3.0	-0.168	2.2612795729182463e-09	1.0911063275670762e-12	2.2601884665906794e-09	0.0342672487841411	760	OK
sub-1001	Standard	Fz	3.0	-0.16	2.535486146227466e-09	1.020466718122872e-12	2.5344656795093438e-09	0.0424742443436768	760	OK
sub-1001	Standard	Fz	3.0	-0.152	2.907856786058522e-09	1.288531542439391e-12	2.906568254516082e-09	0.0172730850248945	760	OK
sub-1001	Standard	Fz	3.0	-0.144	2.9898264878519924e-09	8.07774263573687e-13	2.989018713588419e-09	0.0150129255845043	760	OK
sub-1001	Standard	Fz	3.0	-0.136	2.961891962432886e-09	4.59700285141407e-13	2.9614322621477446e-09	0.014993764791575	760	OK
sub-1001	Standard	Fz	3.0	-0.128	2.9519734841640796e-09	3.96617961444381e-13	2.9515768662026353e-09	0.0098866060194882	760	OK
sub-1001	Standard	Fz	3.0	-0.12	2.9764629281388874e-09	4.99332577446913e-13	2.9759635955614403e-09	0.0255086956051855	760	OK
sub-1001	Standard	Fz	3.0	-0.112	2.988705987112955e-09	7.289742027243292e-13	2.9879770129102302e-09	0.0218936323000335	760	OK
sub-1001	Standard	Fz	3.0	-0.104	2.9517743287639863e-09	1.1450930523510865e-12	2.950629235711635e-09	0.0145627480033676	760	OK
sub-1001	Standard	Fz	3.0	-0.096	2.8952847321191773e-09	1.8437033217680218e-12	2.8934410287974102e-09	0.0291529074101094	760	OK
sub-1001	Standard	Fz	3.0	-0.088	2.868179543841808e-09	2.8350090746973427e-12	2.86534453476711e-09	0.0308925081314777	760	OK
sub-1001	Standard	Fz	3.0	-0.08	2.867761838852388e-09	3.905771886401944e-12	2.863856066965986e-09	0.0423201516200537	760	OK
sub-1001	Standard	Fz	3.0	-0.072	2.8501577613781193e-09	4.641193463379091e-12	2.8455165679147403e-09	0.0356404789647364	760	OK
sub-1001	Standard	Fz	3.0	-0.064	2.801360198501437e-09	4.74109485288717e-12	2.79661910364855e-09	0.0447832128484523	760	OK
sub-1001	Standard	Fz	3.0	-0.056	2.7627306421318847e-09	4.305993124115751e-12	2.758424649007769e-09	0.0503804770519659	760	OK
sub-1001	Standard	Fz	3.0	-0.048	2.769482307147912e-09	3.653100671656073e-12	2.7658292064762562e-09	0.0420784842645753	760	OK
sub-1001	Standard	Fz	3.0	-0.04	2.792799816760758e-09	2.8821685013560047e-12	2.789917648259402e-09	0.0379536105325919	760	OK
sub-1001	Standard	Fz	3.0	-0.032	2.7781717797649502e-09	1.8451210834278677e-12	2.776326658681522e-09	0.0275280410611628	760	OK
sub-1001	Standard	Fz	3.0	-0.024	2.721108166301799e-09	6.931312227025759e-13	2.7204150350790966e-09	0.0288766973740713	760	OK
sub-1001	Standard	Fz	3.0	-0.016	2.665207021509048e-09	3.9609177189936956e-13	2.6648109297371487e-09	0.0159386106648246	760	OK
